product_id,product_name,category,subcategory,gender_target,season,brand,list_price,avg_discount_rate,margin_rate,launch_date,is_bestseller,return_rate
PROD-0000001,Aurora Bottoms Trousers 0001,bottoms,trousers,female,fall,Aurora,110.94,0.177,0.44,2021-12-10,0,0.136
PROD-0000002,Aurora Bottoms Trousers 0002,bottoms,trousers,female,fall,Aurora,120.08,0.099,0.405,2022-11-06,0,0.079
PROD-0000003,Essence Dresses Party 0003,dresses,party,female,summer,Essence,185.47,0.176,0.442,2020-06-15,0,0.105
PROD-0000004,Nord Menswear Shoes 0004,menswear,shoes,male,fall,Nord,87.26,0.196,0.423,2020-11-12,1,0.056
PROD-0000005,Essence Accessories Bags 0005,accessories,bags,female,all_year,Essence,91.88,0.195,0.242,2020-05-24,0,0.116
PROD-0000006,Aurora Shoes Heels 0006,shoes,heels,female,winter,Aurora,273.1,0.058,0.298,2022-06-10,1,0.078
PROD-0000007,Aurora Premium Menswear Accessories 0007,menswear,accessories,male,fall,Aurora Premium,208.28,0.075,0.466,2021-12-23,0,0.087
PROD-0000008,Aurora Menswear Trousers 0008,menswear,trousers,male,winter,Aurora,144.76,0.135,0.292,2021-05-27,0,0.185
PROD-0000009,Aurora Bottoms Jeans 0009,bottoms,jeans,female,summer,Aurora,286.42,0.184,0.206,2020-12-28,1,0.087
PROD-0000010,Essence Activewear Leggings 0010,activewear,leggings,female,summer,Essence,187.12,0.195,0.418,2022-01-07,0,0.097
PROD-0000011,Aurora Studio Shoes Sneakers 0011,shoes,sneakers,female,summer,Aurora Studio,372.37,0.224,0.497,2021-04-22,0,0.114
PROD-0000012,Aurora Dresses Casual 0012,dresses,casual,female,fall,Aurora,232.56,0.117,0.36,2021-10-31,0,0.133
PROD-0000013,Nord Outerwear Blazer 0013,outerwear,blazer,female,summer,Nord,184.54,0.293,0.317,2022-01-15,1,0.045
PROD-0000014,Nord Activewear Leggings 0014,activewear,leggings,female,all_year,Nord,145.05,0.141,0.386,2022-08-11,0,0.104
PROD-0000015,Aurora Premium Shoes Flats 0015,shoes,flats,female,fall,Aurora Premium,380.89,0.096,0.474,2021-09-26,1,0.033
PROD-0000016,Essence Outerwear Blazer 0016,outerwear,blazer,female,winter,Essence,209.25,0.231,0.243,2022-06-13,0,0.148
PROD-0000017,Aurora Tops T-Shirt 0017,tops,t-shirt,female,fall,Aurora,63.78,0.217,0.406,2021-10-11,0,0.112
PROD-0000018,Aurora Menswear Jacket 0018,menswear,jacket,male,all_year,Aurora,189.2,0.211,0.268,2021-12-12,1,0.051
PROD-0000019,Aurora Studio Dresses Workwear 0019,dresses,workwear,female,summer,Aurora Studio,281.12,0.004,0.287,2020-04-30,0,0.107
PROD-0000020,Nova Bottoms Skirts 0020,bottoms,skirts,female,summer,Nova,154.19,0.202,0.324,2020-06-05,0,0.105
PROD-0000021,Aurora Bottoms Trousers 0021,bottoms,trousers,female,fall,Aurora,96.32,0.193,0.246,2021-06-08,0,0.142
PROD-0000022,Nord Bottoms Skirts 0022,bottoms,skirts,female,spring,Nord,164.89,0.244,0.48,2022-05-14,0,0.165
PROD-0000023,Aurora Menswear Shirt 0023,menswear,shirt,male,spring,Aurora,102.33,0.184,0.12,2022-07-16,0,0.071
PROD-0000024,Nord Dresses Party 0024,dresses,party,female,spring,Nord,188.26,0.072,0.287,2020-09-30,0,0.107
PROD-0000025,Aurora Premium Activewear Hoodie 0025,activewear,hoodie,female,spring,Aurora Premium,241.08,0.022,0.545,2021-09-24,0,0.145
PROD-0000026,Aurora Shoes Flats 0026,shoes,flats,female,winter,Aurora,299.25,0.184,0.281,2020-03-30,0,0.092
PROD-0000027,Aurora Studio Tops T-Shirt 0027,tops,t-shirt,female,fall,Aurora Studio,136.35,0.125,0.48,2020-10-17,0,0.079
PROD-0000028,Aurora Tops Blouse 0028,tops,blouse,female,winter,Aurora,82.69,0.091,0.434,2020-02-15,1,0.047
PROD-0000029,Aurora Tops Blouse 0029,tops,blouse,female,all_year,Aurora,50.09,0.194,0.294,2022-03-05,1,0.092
PROD-0000030,Aurora Premium Bottoms Jeans 0030,bottoms,jeans,female,summer,Aurora Premium,200.54,0.111,0.343,2021-03-15,0,0.103
PROD-0000031,Aurora Premium Menswear T-Shirt 0031,menswear,t-shirt,male,all_year,Aurora Premium,197.37,0.093,0.366,2022-10-30,0,0.109
PROD-0000032,Aurora Activewear Leggings 0032,activewear,leggings,female,spring,Aurora,63.45,0.092,0.305,2020-08-15,0,0.159
PROD-0000033,Vela Menswear Shirt 0033,menswear,shirt,male,fall,Vela,120.19,0.149,0.221,2021-04-12,0,0.102
PROD-0000034,Nova Menswear Jacket 0034,menswear,jacket,male,winter,Nova,195.98,0.216,0.449,2022-06-08,0,0.13
PROD-0000035,Vela Menswear Sweatshirt 0035,menswear,sweatshirt,male,spring,Vela,183.63,0.155,0.554,2021-08-06,0,0.105
PROD-0000036,Aurora Premium Menswear Trousers 0036,menswear,trousers,male,spring,Aurora Premium,154.79,0.041,0.327,2020-12-23,0,0.13
PROD-0000037,Aurora Premium Menswear Shirt 0037,menswear,shirt,male,winter,Aurora Premium,216.25,0.0,0.536,2022-05-09,1,0.079
PROD-0000038,Aurora Premium Menswear Trousers 0038,menswear,trousers,male,all_year,Aurora Premium,111.95,0.085,0.438,2021-10-28,0,0.114
PROD-0000039,Nova Accessories Jewelry 0039,accessories,jewelry,female,fall,Nova,93.85,0.105,0.293,2022-03-09,0,0.109
PROD-0000040,Vela Bottoms Jeans 0040,bottoms,jeans,female,all_year,Vela,168.31,0.258,0.388,2022-11-02,0,0.128
PROD-0000041,Muse Tops Knit 0041,tops,knit,female,summer,Muse,83.89,0.092,0.234,2022-08-18,0,0.102
PROD-0000042,Aurora Accessories Belts 0042,accessories,belts,female,all_year,Aurora,80.75,0.115,0.428,2022-08-22,0,0.131
PROD-0000043,Aurora Premium Activewear Hoodie 0043,activewear,hoodie,female,spring,Aurora Premium,177.33,0.0,0.41,2021-01-11,1,0.02
PROD-0000044,Muse Dresses Workwear 0044,dresses,workwear,female,summer,Muse,254.1,0.223,0.261,2022-12-02,0,0.116
PROD-0000045,Nord Dresses Casual 0045,dresses,casual,female,all_year,Nord,163.13,0.374,0.305,2020-03-23,0,0.027
PROD-0000046,Aurora Studio Outerwear Jacket 0046,outerwear,jacket,female,all_year,Aurora Studio,342.28,0.042,0.503,2020-07-12,0,0.07
PROD-0000047,Nord Accessories Belts 0047,accessories,belts,female,fall,Nord,72.5,0.049,0.349,2022-08-01,0,0.116
PROD-0000048,Vela Dresses Party 0048,dresses,party,female,winter,Vela,249.21,0.124,0.315,2022-10-22,0,0.088
PROD-0000049,Vela Menswear Sweatshirt 0049,menswear,sweatshirt,male,fall,Vela,168.3,0.072,0.133,2021-08-19,1,0.038
PROD-0000050,Nova Activewear Leggings 0050,activewear,leggings,female,spring,Nova,113.68,0.192,0.23,2022-09-06,0,0.143
PROD-0000051,Nord Tops Shirt 0051,tops,shirt,female,all_year,Nord,117.25,0.151,0.12,2020-08-19,0,0.063
PROD-0000052,Essence Tops T-Shirt 0052,tops,t-shirt,female,spring,Essence,125.62,0.104,0.272,2020-02-22,0,0.121
PROD-0000053,Aurora Studio Menswear Shirt 0053,menswear,shirt,male,summer,Aurora Studio,163.5,0.09,0.46,2020-01-23,0,0.114
PROD-0000054,Muse Menswear Shoes 0054,menswear,shoes,male,winter,Muse,153.65,0.099,0.273,2022-11-18,0,0.129
PROD-0000055,Aurora Activewear Sports_Bra 0055,activewear,sports_bra,female,all_year,Aurora,43.26,0.104,0.416,2021-09-24,0,0.02
PROD-0000056,Essence Menswear Shoes 0056,menswear,shoes,male,spring,Essence,157.11,0.227,0.311,2021-02-05,0,0.07
PROD-0000057,Nova Dresses Workwear 0057,dresses,workwear,female,all_year,Nova,105.69,0.063,0.466,2021-06-03,1,0.045
PROD-0000058,Vela Shoes Sneakers 0058,shoes,sneakers,female,fall,Vela,101.47,0.106,0.325,2020-06-10,0,0.088
PROD-0000059,Nord Menswear Sweatshirt 0059,menswear,sweatshirt,male,summer,Nord,109.86,0.088,0.417,2022-04-13,1,0.065
PROD-0000060,Vela Tops Shirt 0060,tops,shirt,female,fall,Vela,108.71,0.136,0.369,2021-04-06,0,0.031
PROD-0000061,Aurora Premium Activewear Hoodie 0061,activewear,hoodie,female,fall,Aurora Premium,197.78,0.038,0.554,2022-05-14,1,0.078
PROD-0000062,Muse Accessories Belts 0062,accessories,belts,female,winter,Muse,64.55,0.03,0.47,2022-03-06,1,0.074
PROD-0000063,Aurora Premium Menswear Trousers 0063,menswear,trousers,male,winter,Aurora Premium,143.91,0.064,0.332,2021-11-25,0,0.092
PROD-0000064,Aurora Studio Dresses Party 0064,dresses,party,female,summer,Aurora Studio,324.93,0.062,0.488,2022-07-18,0,0.118
PROD-0000065,Aurora Premium Accessories Belts 0065,accessories,belts,female,summer,Aurora Premium,125.43,0.14,0.435,2022-05-03,0,0.096
PROD-0000066,Aurora Studio Menswear T-Shirt 0066,menswear,t-shirt,male,fall,Aurora Studio,170.88,0.015,0.388,2020-08-19,0,0.066
PROD-0000067,Essence Menswear Accessories 0067,menswear,accessories,male,summer,Essence,188.27,0.194,0.12,2021-08-20,0,0.124
PROD-0000068,Aurora Studio Menswear Jacket 0068,menswear,jacket,male,summer,Aurora Studio,190.62,0.078,0.541,2021-04-20,0,0.143
PROD-0000069,Aurora Shoes Sneakers 0069,shoes,sneakers,female,winter,Aurora,129.43,0.239,0.289,2022-01-28,0,0.074
PROD-0000070,Aurora Studio Activewear Sports_Bra 0070,activewear,sports_bra,female,all_year,Aurora Studio,222.0,0.089,0.382,2020-12-10,0,0.071
PROD-0000071,Nova Dresses Casual 0071,dresses,casual,female,summer,Nova,194.75,0.224,0.353,2020-01-15,0,0.11
PROD-0000072,Aurora Premium Shoes Flats 0072,shoes,flats,female,spring,Aurora Premium,350.47,0.0,0.586,2022-04-14,0,0.108
PROD-0000073,Aurora Studio Menswear Jacket 0073,menswear,jacket,male,summer,Aurora Studio,174.17,0.0,0.359,2022-09-05,0,0.102
PROD-0000074,Nova Shoes Heels 0074,shoes,heels,female,summer,Nova,239.67,0.137,0.36,2022-05-01,0,0.11
PROD-0000075,Aurora Studio Menswear Jacket 0075,menswear,jacket,male,fall,Aurora Studio,187.23,0.056,0.513,2020-12-14,0,0.096
PROD-0000076,Aurora Studio Tops Knit 0076,tops,knit,female,summer,Aurora Studio,169.36,0.133,0.383,2021-08-18,1,0.049
PROD-0000077,Nova Outerwear Coat 0077,outerwear,coat,female,spring,Nova,230.04,0.186,0.44,2021-12-31,0,0.106
PROD-0000078,Vela Accessories Bags 0078,accessories,bags,female,winter,Vela,45.17,0.148,0.324,2021-03-09,1,0.044
PROD-0000079,Aurora Studio Outerwear Coat 0079,outerwear,coat,female,spring,Aurora Studio,421.41,0.098,0.349,2022-11-14,0,0.084
PROD-0000080,Aurora Premium Outerwear Coat 0080,outerwear,coat,female,fall,Aurora Premium,407.48,0.024,0.503,2020-11-19,0,0.116
PROD-0000081,Nord Menswear Jeans 0081,menswear,jeans,male,winter,Nord,115.43,0.152,0.215,2022-01-25,0,0.098
PROD-0000082,Aurora Tops Shirt 0082,tops,shirt,female,winter,Aurora,102.26,0.14,0.162,2022-12-13,0,0.064
PROD-0000083,Muse Dresses Casual 0083,dresses,casual,female,fall,Muse,234.73,0.087,0.352,2021-08-19,0,0.132
PROD-0000084,Aurora Premium Tops Knit 0084,tops,knit,female,spring,Aurora Premium,109.44,0.174,0.376,2022-11-30,0,0.095
PROD-0000085,Aurora Tops Shirt 0085,tops,shirt,female,all_year,Aurora,81.48,0.157,0.293,2021-08-08,1,0.043
PROD-0000086,Aurora Premium Accessories Bags 0086,accessories,bags,female,summer,Aurora Premium,133.41,0.198,0.357,2021-03-30,0,0.075
PROD-0000087,Muse Accessories Jewelry 0087,accessories,jewelry,female,fall,Muse,76.66,0.038,0.212,2022-07-16,0,0.048
PROD-0000088,Nova Dresses Party 0088,dresses,party,female,all_year,Nova,205.66,0.269,0.388,2022-07-30,0,0.101
PROD-0000089,Muse Menswear Accessories 0089,menswear,accessories,male,summer,Muse,101.25,0.271,0.242,2022-02-22,0,0.109
PROD-0000090,Aurora Studio Accessories Bags 0090,accessories,bags,female,winter,Aurora Studio,123.16,0.0,0.46,2022-06-12,0,0.103
PROD-0000091,Aurora Studio Dresses Workwear 0091,dresses,workwear,female,spring,Aurora Studio,226.98,0.0,0.358,2020-10-22,0,0.116
PROD-0000092,Aurora Studio Dresses Workwear 0092,dresses,workwear,female,fall,Aurora Studio,325.7,0.057,0.467,2021-11-29,0,0.094
PROD-0000093,Essence Activewear Sports_Bra 0093,activewear,sports_bra,female,fall,Essence,94.57,0.104,0.373,2021-11-14,0,0.127
PROD-0000094,Aurora Shoes Sneakers 0094,shoes,sneakers,female,all_year,Aurora,254.66,0.248,0.281,2021-12-02,0,0.142
PROD-0000095,Muse Activewear Hoodie 0095,activewear,hoodie,female,fall,Muse,221.16,0.064,0.324,2022-05-17,0,0.104
PROD-0000096,Essence Dresses Casual 0096,dresses,casual,female,winter,Essence,150.57,0.322,0.31,2022-07-20,0,0.1
PROD-0000097,Essence Tops T-Shirt 0097,tops,t-shirt,female,all_year,Essence,50.38,0.137,0.293,2020-07-18,0,0.093
PROD-0000098,Nord Bottoms Jeans 0098,bottoms,jeans,female,winter,Nord,111.52,0.265,0.252,2020-02-27,1,0.089
PROD-0000099,Aurora Premium Accessories Jewelry 0099,accessories,jewelry,female,spring,Aurora Premium,80.42,0.149,0.307,2022-11-20,0,0.121
PROD-0000100,Vela Bottoms Skirts 0100,bottoms,skirts,female,winter,Vela,108.3,0.207,0.273,2020-04-19,0,0.129
PROD-0000101,Vela Bottoms Trousers 0101,bottoms,trousers,female,winter,Vela,207.11,0.151,0.42,2021-06-17,0,0.078
PROD-0000102,Aurora Studio Activewear Hoodie 0102,activewear,hoodie,female,fall,Aurora Studio,173.72,0.172,0.381,2020-09-13,0,0.174
PROD-0000103,Vela Outerwear Jacket 0103,outerwear,jacket,female,summer,Vela,398.77,0.055,0.212,2020-12-03,0,0.103
PROD-0000104,Essence Menswear Accessories 0104,menswear,accessories,male,spring,Essence,131.58,0.09,0.413,2021-11-26,0,0.127
PROD-0000105,Muse Menswear Sweatshirt 0105,menswear,sweatshirt,male,summer,Muse,161.99,0.2,0.442,2020-12-13,0,0.098
PROD-0000106,Aurora Premium Tops Shirt 0106,tops,shirt,female,winter,Aurora Premium,124.93,0.061,0.512,2020-11-06,0,0.079
PROD-0000107,Aurora Studio Menswear T-Shirt 0107,menswear,t-shirt,male,fall,Aurora Studio,146.78,0.076,0.405,2022-07-14,0,0.108
PROD-0000108,Aurora Outerwear Coat 0108,outerwear,coat,female,all_year,Aurora,296.97,0.105,0.329,2022-04-20,0,0.098
PROD-0000109,Aurora Studio Menswear T-Shirt 0109,menswear,t-shirt,male,fall,Aurora Studio,224.14,0.034,0.497,2020-09-26,0,0.075
PROD-0000110,Aurora Studio Outerwear Jacket 0110,outerwear,jacket,female,all_year,Aurora Studio,302.68,0.0,0.476,2022-12-23,0,0.096
PROD-0000111,Aurora Menswear Shirt 0111,menswear,shirt,male,all_year,Aurora,203.23,0.091,0.211,2020-10-10,0,0.171
PROD-0000112,Muse Bottoms Trousers 0112,bottoms,trousers,female,spring,Muse,194.15,0.108,0.263,2022-10-22,0,0.127
PROD-0000113,Vela Tops Blouse 0113,tops,blouse,female,spring,Vela,39.0,0.198,0.306,2020-09-15,0,0.077
PROD-0000114,Aurora Studio Tops Blouse 0114,tops,blouse,female,fall,Aurora Studio,127.54,0.127,0.624,2022-03-22,1,0.093
PROD-0000115,Aurora Premium Shoes Flats 0115,shoes,flats,female,fall,Aurora Premium,337.05,0.0,0.421,2020-02-28,0,0.162
PROD-0000116,Aurora Premium Activewear Sports_Bra 0116,activewear,sports_bra,female,all_year,Aurora Premium,213.04,0.022,0.518,2021-04-05,0,0.094
PROD-0000117,Muse Menswear Accessories 0117,menswear,accessories,male,all_year,Muse,168.91,0.143,0.378,2022-02-02,1,0.056
PROD-0000118,Aurora Studio Menswear Sweatshirt 0118,menswear,sweatshirt,male,summer,Aurora Studio,196.24,0.047,0.535,2021-05-02,0,0.159
PROD-0000119,Aurora Studio Outerwear Blazer 0119,outerwear,blazer,female,summer,Aurora Studio,385.53,0.0,0.407,2022-05-04,0,0.104
PROD-0000120,Nova Accessories Belts 0120,accessories,belts,female,fall,Nova,124.39,0.063,0.458,2021-06-08,0,0.105
